Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Trea Turner ","PHI","SS",29.309999465942383,644,5.71621468986124,-4.84044079599183,3.07886912795633,6.98197590752004,-3.91024996634837,7.02636896299741,13.937934068046204,21.96430303104361,"Trea Turner","16252",607208
"James Wood ","WSN","OF/DH",29.770000457763672,644,-0.393636153405877,-1.67933660269104,3.89990089541135,2.31955460032803,2.68005896940187,6.82654170904432,13.814289106390957,21.64083081543528,"James Wood","29518",695578
"Wyatt Langford ","TEX","OF",53.849998474121094,644,-1.77327331630262,-0.493922530203248,3.07886912795633,4.18452312320483,0.702966288676795,5.69916269333209,13.814289106390957,20.513451799723043,"Wyatt Langford","33333",694671
"Salvador Perez ","KCR","C/1B/DH",103.91999816894531,624,-1.90464360288772,3.85259573558534,-3.48938501168384,-5.60656162189839,1.36199718225182,-5.78599731863281,24.78789805156883,20.001900732936022,"Salvador Perez","7304",521692
"Ben Rice ","NYY","C/1B/DH",59.849998474121094,568,-3.3500565104418,0.691491542284547,-2.25783736050131,-3.74159309902159,2.68005896940187,-5.97793645827829,24.78789805156883,19.809961593290538,"Ben Rice","29576",700250
"Yandy Díaz ","TBR","1B/DH",136.85000610351562,651,9.57042260659349,-2.86475067517884,3.89990089541135,-4.67407736045999,-1.27412639204828,4.65736907431774,13.603923500163452,19.261292574481192,"Yandy Diaz","16578",650490
"Austin Riley ","ATL","3B",75.69000244140625,672,-0.174595074399253,5.43314783223573,1.43680559304629,-4.67407736045999,2.68005896940187,4.70133995982464,13.100398860445114,18.80173882026975,"Austin Riley","18360",663586
"Bo Bichette ",,"SS",108.7699966430664,658,9.65804809833262,-0.493922530203248,0.615773825591266,-2.80910883758319,-3.25121907277335,3.7195714833641,13.937934068046204,18.657505551410306,"Bo Bichette","19612",666182
"William Contreras ","MIL","C/DH",54.150001525878906,610,2.01522680679588,-1.28419857852844,-2.25783736050131,-3.27535096830239,-2.59218817919832,-7.39434827973458,24.78789805156883,18.393549771834248,"William Contreras","20503",661388
"Rafael Devers ","SFG","1B/DH",57,686,-3.85364260901803,4.64287178391053,3.07886912795633,-5.14031949117919,4.65715165012694,3.38493046179657,13.603923500163452,17.98885396196003,"Rafael Devers","17350",646240
"Riley Greene ","DET","OF/DH",78.37999725341797,651,0.0881681491121502,4.64287178391053,-0.205257941863755,-4.20783522974079,2.68005896940187,2.99800573082,13.814289106390957,17.81229483721096,"Riley Greene","25976",682985
"Josh Naylor ","SEA","1B/DH",67.2300033569336,623,1.2049967878151,2.66718166309754,-2.25783736050131,1.38707033888962,0.0439353951017714,3.04534682440272,13.603923500163452,17.649270324566174,"Josh Naylor","18839",647304
"Cody Bellinger ",,"OF",84.69000244140625,651,1.81819402725943,3.06231968726014,-0.615773825591266,-0.944140314706382,-0.615095498473253,2.70550407574866,13.814289106390957,17.51979318213962,"Cody Bellinger","15998",641355
"Vinnie Pasquantino ","KCR","1B/DH",89.30999755859375,644,1.38020247061096,4.64287178391053,-0.205257941863755,-5.14031949117919,2.02102807582684,2.69852489730539,13.603923500163452,17.30244839746884,"Vinnie Pasquantino","27676",686469
"Jo Adell ","LAA","OF",132.77000427246094,630,-6.65672968068109,5.43314783223573,-1.43680559304629,-1.87662457614478,6.63424433085201,2.09723231321558,13.814289106390957,16.911521419606537,"Jo Adell","20220",666176
"Shea Langeliers ","ATH","C",60.380001068115234,524,-2.47411869782727,-1.67933660269104,-4.31041677913886,-3.74159309902159,2.02102807582684,-10.1844371028519,24.78789805156883,15.603460948716904,"Shea Langeliers","25816",669127
"Geraldo Perdomo ","ARI","SS",80.08000183105469,686,2.82554742714145,-5.23557882015443,4.72093266286638,4.65076525392403,-6.54637354064847,0.415292983128963,13.937934068046204,15.353227051175166,"Geraldo Perdomo","22799",672695
"Seiya Suzuki ","CHC","OF/DH",97.37999725341797,651,-2.38642525506455,3.45745771142274,-0.205257941863755,-2.34286670686399,1.36199718225182,-0.115095010117741,13.814289106390957,14.699194096273215,"Seiya Suzuki","30116",673548
"Michael Harris II ","ATL","OF",94.91999816894531,574,3.85475057410527,-0.493922530203248,-3.89990089541135,2.31955460032803,-1.9331572856233,-0.152675536804601,13.814289106390957,14.661613569586356,"Michael Harris II","25931",671739
"Maikel Garcia ","KCR","3B",89.54000091552734,665,4.40228532059824,-5.63071684431703,1.43680559304629,6.98197590752004,-7.20540443422349,-0.0150544573759484,13.100398860445114,14.085344403069165,"Maikel Garcia","22715",672580
"Jackson Merrill ","SDP","OF",77.30999755859375,623,2.54084385518348,0.691491542284547,-0.615773825591266,-2.80910883758319,-0.615095498473253,-0.807642764179684,13.814289106390957,14.00664634221127,"Jackson Merrill","29490",701538
"Andy Pages ","LAD","OF",136.69000244140625,630,-1.77325066596142,2.27204363893494,-1.8473214767738,-0.944140314706382,1.36199718225182,-0.930671636254846,13.814289106390957,13.883617470136109,"Andy Pages","24816",681624
"Jeremy Peña ","HOU","SS",96.54000091552734,651,3.5482199054067,-4.05016474766663,1.02628970931878,2.31955460032803,-3.91024996634837,-1.0663504989615,13.937934068046204,13.8715835690847,"Jeremy Pena","21636",665161
"Corey Seager ","TEX","SS",95.69000244140625,560,3.74520738426077,0.296353518121949,-1.8473214767738,-4.67407736045999,1.36199718225182,-1.11784075259926,13.937934068046204,13.820093315446947,"Corey Seager","13624",608369
"Jose Altuve ","HOU","2B/OF/DH",122.2300033569336,637,1.77438128138986,-0.889060554365846,-0.615773825591266,-0.0116560532679801,-1.9331572856233,-1.67526643745853,13.743726498026598,13.068460060568064,"Jose Altuve","5417",514888
"CJ Abrams ","WSN","SS",47.380001068115234,630,-1.99224644428566,-4.84044079599183,0.205257941863755,7.91446016895844,-3.25121907277335,-1.96418820222864,13.937934068046204,12.973745865817564,"CJ Abrams","25768",682928
"Byron Buxton ","MIN","OF",78.1500015258789,560,-3.63473743205859,-2.86475067517884,-0.205257941863755,1.85331246960882,2.68005896940187,-2.17137461009049,13.814289106390957,12.642914496300465,"Byron Buxton","14161",621439
"Ceddanne Rafaela ","BOS","2B/OF",137.14999389648438,651,-0.919162600428682,-0.889060554365846,-2.25783736050131,5.11700738464323,-3.25121907277335,-2.20027220342595,13.743726498026598,12.543454294600643,"Ceddanne Rafaela","24262",678882
"Alex Bregman ",,"3B",120.69000244140625,679,0.153875942745898,1.48176759060974,1.8473214767738,-4.67407736045999,-0.615095498473253,-1.8062078488038,13.100398860445114,12.29419101164131,"Alex Bregman","17678",608324
"Trevor Story ","BOS","SS",114.2300033569336,665,-4.48868959554415,1.08662956644715,-2.66835324422882,4.65076525392403,-1.27412639204828,-2.69377441145007,13.937934068046204,12.244159656596132,"Trevor Story","12564",596115
"Tyler Soderstrom ","ATH","1B/OF",93.7699966430664,588,-0.612654582071304,1.87690561477234,-2.66835324422882,-3.27535096830239,2.02102807582684,-2.65842510400333,13.814289106390957,12.155864002387627,"Tyler Soderstrom","27467",691016
"George Springer ","TOR","OF/DH",108.30999755859375,595,-0.0870828343661062,-3.65502672350404,1.02628970931878,-0.0116560532679801,0.0439353951017714,-2.68354050671757,13.814289106390957,12.130748599673383,"George Springer","12856",543807
"Jordan Westburg ","BAL","3B",137.6199951171875,609,1.11739394641717,-0.0987845060406497,0.205257941863755,-3.27535096830239,0.0439353951017714,-2.00754819096034,13.100398860445114,12.092850669484768,"Jordan Westburg","27815",676059
"Teoscar Hernández ","LAD","OF",128,609,-1.7951683640668,2.27204363893494,-3.07886912795633,-3.27535096830239,2.02102807582684,-3.85631674556374,13.814289106390957,10.957972360827217,"Teoscar Hernandez","13066",606192
"Nico Hoerner ","CHC","2B",106.37999725341797,672,7.22726744002548,-6.42099289264222,-1.02628970931878,6.51573377680084,-10.5005589020986,-4.2048402872333,13.743726498026598,10.538886210793303,"Nico Hoerner","21479",663538
"Christian Yelich ","MIL","DH",119.37999725341797,630,-0.744024868656408,-0.0987845060406497,-2.25783736050131,1.85331246960882,-2.59218817919832,-3.83952244478787,13.100398860445114,10.260876415657247,"Christian Yelich","11477",592885
"Agustín Ramírez ","MIA","C/DH",76.08000183105469,536,-2.91208760413454,-3.25988869934144,-7.18402796523144,-0.0116560532679801,-2.59218817919832,-15.9598485011737,24.78789805156883,9.828049550395109,"Agustin Ramirez","26546",682663
"Brice Turang ","MIL","2B",61.310001373291016,658,0.0662731013479663,-5.63071684431703,0.205257941863755,6.98197590752004,-6.54637354064847,-4.92358343423374,13.743726498026598,9.82014306379286,"Brice Turang","22186",668930
"Randy Arozarena ","SEA","OF",95.8499984741211,679,-8.36483786072298,-3.25988869934144,2.25783736050131,5.11700738464323,-1.27412639204828,-5.52400820696815,13.814289106390957,9.290280899422806,"Randy Arozarena","19290",668227
"Ezequiel Tovar ","COL","SS",194.4600067138672,651,0.460474562468061,-3.65502672350404,0.205257941863755,-0.944140314706382,-1.9331572856233,-5.8665918195019,13.937934068046204,9.071342248544301,"Ezequiel Tovar","24064",678662
"Taylor Ward ","BAL","OF",168.3800048828125,658,-4.92670380253381,1.48176759060974,-0.615773825591266,-3.74159309902159,1.36199718225182,-6.4403059542851,13.814289106390957,8.373983152105852,"Taylor Ward","17548",621493
"Jacob Wilson ","ATH","SS",158.4600067138672,602,10.950037119149,-3.25988869934144,-3.89990089541135,-3.27535096830239,-7.20540443422349,-6.69050787812963,13.937934068046204,8.247426189916574,"Jacob Wilson","33266",805779
"Willy Adames ","SFG","SS",124.69000244140625,679,-8.03634419323663,-0.0987845060406497,1.02628970931878,-0.477898183987181,0.702966288676795,-6.88377088526889,13.937934068046204,8.05416318277731,"Willy Adames","15986",642715
"Eugenio Suárez ",,"3B",114.62000274658203,644,-8.80282941737144,3.85259573558534,-1.8473214767738,-4.67407736045999,5.31618254370196,-6.15544997531794,13.100398860445114,7.944948885127178,"Eugenio Suarez","12552",553993
"Michael Busch ","CHC","1B",105.54000091552734,616,-3.83179286193624,-1.67933660269104,1.02628970931878,-4.20783522974079,2.02102807582684,-6.67164690922246,13.603923500163452,7.932276590940996,"Michael Busch","26319",683737
"Steven Kwan ","CLE","OF",171.3800048828125,665,5.08114505299393,-9.18695906178041,1.8473214767738,2.78579673104723,-7.86443532779852,-7.33713112876398,13.814289106390957,7.477157977626979,"Steven Kwan","24610",680757
"Matt Chapman ","SFG","3B",166.14999389648438,672,-6.72241482397364,2.27204363893494,-1.02628970931878,-1.41038244542558,0.0439353951017714,-6.84310794468129,13.100398860445114,7.257290915763827,"Matt Chapman","16505",656305
"Drake Baldwin ","ATL","C",93.08000183105469,522,1.3581941711408,-3.25988869934144,-7.18402796523144,-5.60656162189839,-3.91024996634837,-18.6025340816788,24.78789805156883,7.185363969889979,"Drake Baldwin","31539",686948
"Jarren Duran ","BOS","OF",78.69000244140625,623,-0.919207901111075,-5.63071684431703,0.615773825591266,4.18452312320483,-5.88734264707344,-7.63697044370545,13.814289106390957,7.177318662685505,"Jarren Duran","24617",680776
"Mark Vientos ","NYM","3B/DH",255.6199951171875,609,-3.52519424221408,2.27204363893494,-3.07886912795633,-5.60656162189839,2.68005896940187,-7.258522383732,13.100398860445114,6.841876476713117,"Mark Vientos","22184",668901
"Yainer Diaz ","HOU","C/DH",115.69000244140625,509,2.67214619074499,-4.44530277182923,-9.23660738386899,-5.14031949117919,-3.25121907277335,-19.4013025289058,24.78789805156883,6.3865955226630495,"Yainer Diaz","23003",673237
"Brandon Nimmo ","TEX","OF",149,630,-1.26959661636161,-4.05016474766663,0.205257941863755,-1.41038244542558,-1.9331572856233,-8.45804315321337,13.814289106390957,6.356245953177588,"Brandon Nimmo","12927",607043
"Iván Herrera ","STL","DH",176.0800018310547,591,3.24155333466095,-4.44530277182923,-1.43680559304629,-1.87662457614478,-3.25121907277335,-7.7683986791327,13.100398860445114,6.3320001813124085,"Ivan Herrera","20599",671056
"Luis Robert Jr. ","CHW","OF",128.22999572753906,595,-6.1092855355529,-4.05016474766663,-5.95248031404891,8.84694443039684,-1.27412639204828,-8.53911255891988,13.814289106390957,6.275176547471081,"Luis Robert Jr.","20043",673357
"Heliot Ramos ","SFG","OF",228.30999755859375,651,-1.31336406154878,-0.889060554365846,-2.25783736050131,-2.80910883758319,-1.27412639204828,-8.5434972060474,13.814289106390957,6.27079190034356,"Heliot Ramos","22515",671218
"Oneil Cruz ","PIT","OF",96.7699966430664,560,-5.95604285154481,-6.42099289264222,-2.66835324422882,7.44821803823924,-1.27412639204828,-8.87129734222489,13.814289106390957,5.942991764166065,"Oneil Cruz","21711",665833
"Roman Anthony ","BOS","OF",60.310001373291016,630,0.591799548370772,-6.81613091680482,2.66835324422882,-1.41038244542558,-3.91024996634837,-8.87661053597919,13.814289106390957,5.937678570411769,"Roman Anthony","31812",701350
"Jonathan Aranda ","TBR","1B",172.9199981689453,609,0.876480469987555,-0.889060554365846,-3.07886912795633,-5.14031949117919,-1.27412639204828,-9.50589509556209,13.603923500163452,5.09802840460136,"Jonathan Aranda","21837",666018
"Lawrence Butler ","ATH","OF",151.9199981689453,588,-4.40117735551101,-4.05016474766663,-3.48938501168384,3.25203886176643,-1.27412639204828,-9.96281464514333,13.814289106390957,4.851474461247628,"Lawrence Butler","22542",671732
"Jurickson Profar ","ATL","OF",180.3800048828125,644,-1.77327331630262,-5.63071684431703,2.66835324422882,-1.41038244542558,-3.91024996634837,-10.0562693281648,13.814289106390957,4.758019778226174,"Jurickson Profar","10815",595777
"Dansby Swanson ","CHC","SS",138.6199951171875,686,-6.52529144307239,-0.493922530203248,-2.66835324422882,1.38707033888962,-1.9331572856233,-10.2336541642381,13.937934068046204,4.7042799038080645,"Dansby Swanson","18314",621020
"Adley Rutschman ","BAL","C",172.22999572753906,573,-1.72952852145665,-4.84044079599183,-4.72093266286638,-5.60656162189839,-4.5692808599234,-21.4667444621366,24.78789805156883,4.321153589432184,"Adley Rutschman","26288",668939
"Bryan Reynolds ","PIT","OF/DH",201.30999755859375,658,-2.21121957226869,-0.493922530203248,-2.25783736050131,-3.27535096830239,-2.59218817919832,-10.830518610474,13.814289106390957,3.9837704959169944,"Bryan Reynolds","19326",668804
"Ozzie Albies ","ATL","2B",168.69000244140625,630,-0.853500107477327,-1.67933660269104,-3.48938501168384,-0.944140314706382,-3.91024996634837,-10.876612002907,13.743726498026598,3.86711449511963,"Ozzie Albies","16556",645277
"Adolis García ","PHI","OF",282.2300109863281,602,-6.65675233102228,-0.0987845060406497,-5.13144854659389,-0.477898183987181,1.36199718225182,-11.0028863853922,13.814289106390957,3.8114027209987764,"Adolis Garcia","19287",666969
"Matt Shaw ","CHC","3B",185.30999755859375,602,-4.7953561662899,-4.05016474766663,-3.07886912795633,4.65076525392403,-3.25121907277335,-10.5248438607622,13.100398860445114,3.5755549996829274,"Matt Shaw","33322",807713
"Alec Burleson ","STL","1B/OF/DH",194.30999755859375,546,4.07370105174711,-2.46961265101624,-6.36299619777642,-3.27535096830239,-3.25121907277335,-11.2854778381213,13.814289106390957,3.528811268269673,"Alec Burleson","27615",676475
"Dylan Crews ","WSN","OF",161.22999572753906,595,-4.83914626181827,-3.25988869934144,-5.95248031404891,5.58324951536244,-3.25121907277335,-11.7194848326195,13.814289106390957,3.0948042737714254,"Dylan Crews","33541",686611
"Will Smith ","LAD","C",108.2300033569336,500,-1.35731270946552,-5.23557882015443,-7.59454384895895,-4.67407736045999,-3.91024996634837,-22.7717627053873,24.78789805156883,3.016135346181564,"Will Smith","19197",669257
"Royce Lewis ","MIN","3B",204.4600067138672,567,-2.1893924755281,-1.67933660269104,-6.36299619777642,-0.944140314706382,0.0439353951017714,-11.1319301956002,13.100398860445114,2.9684686648449445,"Royce Lewis","20437",668904
"Jake Burger ","TEX","1B",281.9200134277344,574,-3.89750065556999,0.691491542284547,-5.5419644303214,-5.14031949117919,2.02102807582684,-11.8672649589592,13.603923500163452,2.7366585412042626,"Jake Burger","22275",669394
"Bryson Stott ","PHI","2B",191.30999755859375,623,-1.16009872719949,-5.23557882015443,-4.72093266286638,5.58324951536244,-6.54637354064847,-12.0797342355063,13.743726498026598,2.6639922625202686,"Bryson Stott","26294",681082
"Jasson Domínguez ","NYY","OF",214.0800018310547,574,-1.77331861698501,-5.63071684431703,-5.95248031404891,5.58324951536244,-4.5692808599234,-12.3425471199119,13.814289106390957,2.471741986479045,"Jasson Dominguez","28080",691176
"Ian Happ ","CHC","OF",182.6199951171875,658,-5.86837205912329,-2.07447462685364,-0.205257941863755,-2.34286670686399,-1.9331572856233,-12.424128620328,13.814289106390957,2.3901604860629835,"Ian Happ","17919",664023
"Christian Walker ","HOU","1B",190.0800018310547,630,-8.86853721100519,1.48176759060974,-3.48938501168384,-4.20783522974079,2.68005896940187,-12.4039308924182,13.603923500163452,2.199992607745238,"Christian Walker","13419",572233
"Gleyber Torres ","DET","2B",241.14999389648438,665,-0.52500643999098,-4.44530277182923,0.205257941863755,-3.74159309902159,-4.5692808599234,-13.0759252289014,13.743726498026598,1.6678012691251531,"Gleyber Torres","16997",650402
"Noelvi Marte ","CIN","3B/OF",134,574,-1.48861504502703,-4.84044079599183,-4.31041677913886,1.38707033888962,-3.25121907277335,-12.5036213540415,13.100398860445114,1.5967775064036607,"Noelvi Marte","26517",682622
"Kyle Stowers ","MIA","OF",128.6199951171875,609,-5.715106724774,-0.0987845060406497,-3.89990089541135,-3.74159309902159,0.0439353951017714,-13.4114498301458,13.814289106390957,1.4028392762451336,"Kyle Stowers","26151",669065
"Nolan Schanuel ","LAA","1B",303.30999755859375,616,2.01522680679588,-6.42099289264222,-1.02628970931878,-3.27535096830239,-4.5692808599234,-13.2766876233909,13.603923500163452,1.327235876772551,"Nolan Schanuel","33189",694384
"Brandon Lowe ","TBR","2B",191.9199981689453,560,-5.14576753188163,-2.46961265101624,-3.48938501168384,-3.74159309902159,1.36199718225182,-13.4843611113515,13.743726498026598,1.2593653866751149,"Brandon Lowe","18882",664040
"Kyle Manzardo ","CLE","1B/DH",235.69000244140625,588,-6.48159194890881,0.691491542284547,-3.89990089541135,-5.14031949117919,1.36199718225182,-13.468323610963,13.603923500163452,1.135599889200462,"Kyle Manzardo","29794",700932
"Ernie Clement ","TOR","2B/3B/SS",294.6199951171875,644,4.51178320976036,-3.25988869934144,-5.13144854659389,-1.87662457614478,-7.86443532779852,-13.6206139401183,13.743726498026598,1.1231125579083345,"Ernie Clement","20352",676391
"Alec Bohm ","PHI","3B",281.6199951171875,609,3.87666827221065,-1.28419857852844,-5.13144854659389,-4.67407736045999,-5.88734264707344,-13.1003988604451,13.100398860445114,1,"Alec Bohm","21618",664761
"Luis Arraez ",,"1B/DH",290.1499938964844,609,12.7676658386942,-9.18695906178041,-3.48938501168384,-1.87662457614478,-11.8186206892487,-13.6039235001635,13.603923500163452,1,"Luis Arraez","18568",650333
"Luke Keaschall ","MIN","2B",146.85000610351562,574,1.53342250427786,-8.79182103761781,-3.07886912795633,5.11700738464323,-8.52346622137354,-13.7437264980266,13.743726498026598,1,"Luke Keaschall","33321",807712
"Mike Trout ","LAA","OF/DH",212.9199981689453,581,-6.85389836226472,-1.28419857852844,-3.48938501168384,-4.20783522974079,2.02102807582684,-13.814289106391,13.814289106390957,1,"Mike Trout","10155",545361
"Xander Bogaerts ","SDP","SS",218,609,2.40942826791598,-5.23557882015443,-5.95248031404891,1.38707033888962,-6.54637354064847,-13.9379340680462,13.937934068046204,1,"Xander Bogaerts","12161",593428
"Alejandro Kirk ","TOR","C",172.30999755859375,495,3.15388254223943,-7.21126894096742,-9.23660738386899,-5.60656162189839,-5.88734264707344,-24.7878980515688,24.78789805156883,1,"Alejandro Kirk","22581",672386
"Daulton Varsho ","TOR","OF",209.69000244140625,595,-9.1094506874348,0.691491542284547,-4.31041677913886,-2.34286670686399,0.702966288676795,-14.3682763424763,13.814289106390957,0.44601276391464384,"Daulton Varsho","19918",662139
"Xavier Edwards ","MIA","2B/SS",171.14999389648438,616,6.67973269353251,-11.9529252309186,-3.07886912795633,6.98197590752004,-13.1366824763987,-14.5067682342211,13.937934068046204,0.43116583382510965,"Xavier Edwards","22266",669364
"Marcus Semien ","NYM","2B",254.77000427246094,644,-5.91216215465166,-3.65502672350404,-0.615773825591266,-1.87662457614478,-2.59218817919832,-14.6517754590901,13.743726498026598,0.09195103893653045,"Marcus Semien","12533",543760
"Masyn Winn ","STL","SS",272.9200134277344,630,-0.240325518374197,-4.05016474766663,-4.31041677913886,-0.477898183987181,-5.88734264707344,-14.9661478762403,13.937934068046204,-0.02821380819411723,"Masyn Winn","27479",691026
